depth,quadrant,direction,threshold_mean,threshold_se,n_measured,measured_rate,max_tested_mean
fc,orange,chroma_minus,0.1169564775509564,0.0013978834258213055,10.0,1.0,0.13349830462172801
fc,orange,chroma_plus,0.1668638009401386,0.00014678909810065922,10.0,1.0,0.16689370468584808
fc,orange,hue_minus,0.0996127802025118,0.004085630553380159,10.0,1.0,0.1192418401938661
fc,orange,hue_plus,0.16112822796486026,0.0019751149276526856,10.0,1.0,0.16129044834770226
fc,purple,chroma_minus,0.11867629028336049,0.0012002071806204164,10.0,1.0,0.12849124068793355
fc,purple,chroma_plus,0.16620579180929906,0.0002326208185757223,10.0,1.0,0.1662870390374464
fc,purple,hue_minus,0.1670346219489469,8.939816796574416e-05,10.0,1.0,0.1670546268937911
fc,purple,hue_plus,0.165731198149794,0.0005766415970680284,10.0,1.0,0.1658284926182784
layer1,orange,chroma_minus,0.06891681136670373,0.0027205582237376253,10.0,1.0,0.08443409352992381
layer1,orange,chroma_plus,0.09262849907408506,0.004059412312905633,10.0,1.0,0.10498484517748574
layer1,orange,hue_minus,0.04052247315845574,0.0008763001276440459,10.0,1.0,0.052145570641917126
layer1,orange,hue_plus,0.04597801863234197,0.0022811915374716164,10.0,1.0,0.056073761829669624
layer1,purple,chroma_minus,0.06848594263676795,0.0015791026907312042,10.0,1.0,0.08264272190696045
layer1,purple,chroma_plus,0.11538168987962916,0.004102366007234929,9.0,0.9,0.12213189050734397
layer1,purple,hue_minus,0.13149334960168155,0.005908464937420796,10.0,1.0,0.13970054594419756
layer1,purple,hue_plus,0.10007688634250259,0.004758376202729763,10.0,1.0,0.10962272746232413
layer2,orange,chroma_minus,0.09388342148400429,0.002524793615579717,10.0,1.0,0.11453045072442662
layer2,orange,chroma_plus,0.15198643333810585,0.0031163194363668096,10.0,1.0,0.15452118060973996
layer2,orange,hue_minus,0.050768547665844196,0.0016145686134350502,10.0,1.0,0.06674901028540883
layer2,orange,hue_plus,0.08246838864657789,0.0054856629146573825,10.0,1.0,0.0951537940609397
layer2,purple,chroma_minus,0.0847540163095143,0.002535958721816354,10.0,1.0,0.1002945643774072
layer2,purple,chroma_plus,0.14959304089863282,0.003282919125862255,10.0,1.0,0.15411881649452114
layer2,purple,hue_minus,0.16623109132075928,0.0001752526916430776,10.0,1.0,0.16623407280708952
layer2,purple,hue_plus,0.10105063284549762,0.0027652170889883422,10.0,1.0,0.11854542787900027
layer3,orange,chroma_minus,0.10194309678192662,0.0028825247563636974,10.0,1.0,0.12066342769465647
layer3,orange,chroma_plus,0.15991874774418416,0.002756162048260139,10.0,1.0,0.16076611259310467
layer3,orange,hue_minus,0.061126877716936645,0.0011728124964570383,10.0,1.0,0.08495134295772389
layer3,orange,hue_plus,0.11240908524337301,0.005304889752440287,10.0,1.0,0.1265414790620781
layer3,purple,chroma_minus,0.09558802296940681,0.0021465421036977557,10.0,1.0,0.11246559032019321
layer3,purple,chroma_plus,0.15862590469775356,0.0016134405327353934,10.0,1.0,0.1596874660089586
layer3,purple,hue_minus,0.16664514906589362,0.00017574551964452982,10.0,1.0,0.16665864002411418
layer3,purple,hue_plus,0.11817241568164143,0.002843658664851768,10.0,1.0,0.1297465924915232
layer4,orange,chroma_minus,0.11034522272503522,0.0014398274093872056,10.0,1.0,0.12741026965072785
layer4,orange,chroma_plus,0.16639806276025815,0.0003608379415067588,10.0,1.0,0.16632659381451656
layer4,orange,hue_minus,0.07328429840694203,0.0033519610502508773,10.0,1.0,0.08903284343224696
layer4,orange,hue_plus,0.14801767094139723,0.0045174087509294416,10.0,1.0,0.1510640987006877
layer4,purple,chroma_minus,0.11061439442055084,0.001553051490392124,10.0,1.0,0.12326872414030003
layer4,purple,chroma_plus,0.16536548588024408,0.0006486740361438061,10.0,1.0,0.16551060204498694
layer4,purple,hue_minus,0.16673107640929327,0.0001945758137547943,10.0,1.0,0.16665894842753667
layer4,purple,hue_plus,0.16386179569138787,0.0009951860029426233,10.0,1.0,0.16416544550595166
stem,orange,chroma_minus,0.06373260910594555,0.0025565474091839274,10.0,1.0,0.08407387439694906
stem,orange,chroma_plus,0.07450685584096937,0.004699127366595347,10.0,1.0,0.0941101063555109
stem,orange,hue_minus,0.042816877616572616,0.0028098356771609433,10.0,1.0,0.06040412912122114
stem,orange,hue_plus,0.04202890113909486,0.0024627599617129837,10.0,1.0,0.06099228956085909
stem,purple,chroma_minus,0.06648458724624037,0.0023506375999797066,10.0,1.0,0.07545229779687929
stem,purple,chroma_plus,0.09509457509702456,0.0064766049333016855,10.0,1.0,0.11265630794957744
stem,purple,hue_minus,0.10384574017701417,0.004337133443773874,10.0,1.0,0.11306434322195909
stem,purple,hue_plus,0.09681814183184337,0.005036136137027351,10.0,1.0,0.11011344192964134
