depth,hue/chroma,quadrant,direction,threshold_mean,threshold_se,n_measured,max_tested_mean
block_1,chroma,orange,neg,0.026795492896771644,0.0010963835065958597,10,0.03723229524580116
block_1,chroma,orange,pos,0.053517047863870716,0.003170321997008754,10,0.07659054569845829
block_1,hue,orange,neg,0.01989585422627434,0.0012689165703429646,10,0.03053623792244442
block_1,hue,orange,pos,0.04050230353670091,0.005537131603202395,10,0.05827194934857908
block_1,chroma,purple,neg,0.024778709921861614,0.0017046700431779843,10,0.038374655751416784
block_1,chroma,purple,pos,0.047445293333544566,0.002578039767520526,10,0.0571524524617542
block_1,hue,purple,neg,0.05330037357955249,0.002833623825007769,10,0.06782446658487636
block_1,hue,purple,pos,0.03533493279853805,0.0020933969610140964,10,0.051477223608911306
block_2,chroma,orange,neg,0.017960171459898748,0.0005940211210909651,10,0.02919541902899579
block_2,chroma,orange,pos,0.03564640634528489,0.0015446082033443236,10,0.05204370080586288
block_2,hue,orange,neg,0.01758345589225328,0.0013652165795090363,10,0.03532608135813674
block_2,hue,orange,pos,0.033130849975339764,0.0021633669323122807,10,0.04505300886185398
block_2,chroma,purple,neg,0.020754987202036022,0.0007639447780962188,10,0.02938244485304404
block_2,chroma,purple,pos,0.04631776303647213,0.0027834477449598916,10,0.06681845478942987
block_2,hue,purple,neg,0.053643223779461305,0.004930375851279879,10,0.06784758238614758
block_2,hue,purple,pos,0.027803096952044925,0.0012471476069611527,10,0.04042276110512715
block_3,chroma,orange,neg,0.02267638335142939,0.001299977942475769,10,0.033782006224652765
block_3,chroma,orange,pos,0.03323196938677187,0.0017591840991964117,10,0.048132658948086146
block_3,hue,orange,neg,0.023884321555887784,0.0012748031317164124,10,0.04197985835366917
block_3,hue,orange,pos,0.035512482166154866,0.0022636957079800735,10,0.05888893583701854
block_3,chroma,purple,neg,0.02343183451663216,0.001231474933983229,10,0.03559568743913822
block_3,chroma,purple,pos,0.03736511543125035,0.0019829461210013064,10,0.053012961326975194
block_3,hue,purple,neg,0.042871081706487846,0.002240480962632882,10,0.052698389375092324
block_3,hue,purple,pos,0.026928200679829768,0.001870599161308458,10,0.04514466947513758
block_4,chroma,orange,neg,0.024537224167167367,0.0010532439585551913,10,0.04014180057484902
block_4,chroma,orange,pos,0.03273591349985521,0.001718385993359592,10,0.045988587211747395
block_4,hue,orange,neg,0.025575110387211934,0.0009963089707341328,10,0.03601721538295166
block_4,hue,orange,pos,0.03698917962831247,0.0009437279115213062,10,0.04966826098273207
block_4,chroma,purple,neg,0.025730952262749407,0.001772417578795011,10,0.040999368056511346
block_4,chroma,purple,pos,0.028153413413878347,0.001324907015164805,10,0.04426417533853176
block_4,hue,purple,neg,0.032731295512829384,0.002276839525714357,10,0.05163633846903774
block_4,hue,purple,pos,0.035909101584204434,0.0021069106532928144,10,0.05824030636594011
layer_1,chroma,orange,neg,0.04969550056086342,0.0024753479880196302,10,0.07139030059353416
layer_1,chroma,orange,pos,0.08859246037539392,0.0028189303191384603,10,0.10255255317734539
layer_1,hue,orange,neg,0.03268542475233502,0.0013621076878361303,10,0.04885272991521571
layer_1,hue,orange,pos,0.05279145831413194,0.003143163575223233,10,0.06419289259697646
layer_1,chroma,purple,neg,0.04435658331632934,0.002511534144149132,10,0.05943289444053994
layer_1,chroma,purple,pos,0.08248190748256873,0.003941033474995725,10,0.09225623463654119
layer_1,hue,purple,neg,0.08469161315141198,0.004812662124350601,10,0.09290259136553922
layer_1,hue,purple,pos,0.0584227993400183,0.002012719205748416,10,0.07549880682482456
